A1;A2;A3;A4;B1;B2;C1;C2;C3;C4;D1_1;D1_2;D1_3;D1_0;D2_1;D2_2;D2_3;D2_4;D2_5;D2_6;D2_0;D3_1;D3_2;D3_0;E1;F1
3;9021;Go Huan-Bin;3;1;2;3;3;3;2;1;1;1; ;1; ;1; ; ; ; ;1;1; ;1; 
1;9021;Go Hwan-Bin;3;1;3;4;3;3;2;1;1;1; ;1; ;1; ; ; ; ;1;1; ;1; 
2;9021;Go Hwan-Bin;3;1;3;4;4;3;2;1;1;1; ;1; ;1; ; ; ; ;1;1; ;1; 
1;9031;Anna;1;2;3;3;2;3;2; ; ;1; ; ; ; ; ;1; ; ;1; ; ;2; 
3;9031;Anna;1;2;2;3;2;3;2; ;1;1; ; ; ; ; ;1; ; ;1; ; ;2; 
2;9031;Anna;1;2;3;3;2;3;2;1;1;1; ; ; ; ; ;1; ; ;1;1; ;3; 
1;9032;Linda;1;2;3;3;2;3;2; ; ;1; ; ; ; ; ;1; ; ;1; ; ;2; 
3;9032;Linda;1;2;2;3;2;3;2; ; ;1; ; ; ; ; ;1; ; ;1; ; ;2; 
2;9032;Linda;1;2;3;3;2;3;2;1;1;1; ; ; ; ; ;1; ; ;1;1; ;3; 
1;9033;Eve;1;2;3;3;2;3;2; ; ;1; ;1; ; ; ; ; ; ;1; ; ;2; 
3;9033;Eve;1;2;2;4;4;4;2;1; ;1; ;1; ; ; ;1; ; ;1; ; ;2; 
2;9033;Eve;1;2;3;3;3;3;2;1; ;1; ;1; ; ; ; ; ; ;1; ; ;3; 
1;9034;William;1;1;3;0;1;0;2;1; ; ; ;1; ; ; ; ; ; ;1; ; ;1; 
3;9034;William;1;1;2;0;1;0;2;1; ; ; ;1; ; ; ; ; ; ;1; ; ;1; 
2;9034;William;1;1;2;0;1;0;2;1; ; ; ;1; ; ; ; ; ; ;1; ; ;1; 
2;9041;Leah Zahn;2;2;2;4;4;4;2; ;1;1; ; ; ;1;1; ; ; ;1;1; ;1; 
1;9041;Ms. (Leah) Zahn;2;2;2;4;4;4;2; ;1;1; ; ; ;1;1; ; ; ;1;1; ;2; 
3;9041;Ms. (Leah) Zahn;2;2;2;4;4;4;2; ;1;1; ; ; ; ;1;1; ; ;1;1; ;2; 
1;9043;Mr. (Sam) Zahn;2;1;2;4;4;4;2; ;1;1; ; ; ;1; ; ; ; ;1;1; ;1; 
3;9043;Mr. (Sam) Zahn;2;1;2;4;4;4;2;1;1;1; ; ; ; ;1;1; ; ;1;1; ;1;does calling body guard count as physical obstruction then?
2;9043;Sam Zahn;2;1;2;4;4;4;2; ;1; ; ; ; ;1;1; ; ; ; ;1; ;1; 
1;9044;Dave;2;1;3;4;4;4;2;1; ; ; ; ;1; ; ; ; ; ;1; ; ;3;*It seemed like Sam came up with the fake news campaign (public sphere/structural obstruction). Dave simply agreed to trying to convince Ellie that Alex is a bad person (private sphere/relational)
3;9044;Dave;2;1;3;4;4;4;2;1;1; ; ; ; ; ;1; ; ; ;1;1; ;1; 
2;9044;Uncle Dave;2;1;4;4;4;4;2; ;1; ; ; ; ;1;1; ; ; ;1;1; ;1; 
3;9051;Gamma;2;2;2;1;4;4;1;1; ;1; ;1; ; ; ; ; ; ;1; ; ;2; 
1;9051;Gemma;2;2;2;1;4;4;1;1; ;1; ;1; ; ; ; ; ; ;1; ; ;2; 
2;9051;Gemma;2;2;2;1;4;1;1;1; ; ; ;1; ; ; ; ; ; ;1; ; ;2; 
3;9052;Eva Brooke;2;2;2;2;1;2;2; ; ;1; ; ; ; ; ;1; ; ;1; ; ;2; 
2;9052;Eve Brooke;2;2;2;2;1;1;2; ; ;1; ; ; ; ; ;1; ; ;1; ; ;2; 
1;9052;Eve Brooke;2;2;2;2;1;2;2; ; ;1; ; ; ; ; ;1; ; ;1;1; ;2;Coded professional too because her hands where presented as particularly important for her career
1;9053;Gemma's mom;2;2;3;1;4;4;1; ; ;1; ; ;1; ; ; ; ; ;1; ; ;2;Coded her as unemployed as her occupation was not presented as anything else but part of rich corpo family
2;9053;Mrs Locke;2;2;4;1;4;1;1;1; ;1; ; ;1; ; ;1; ; ;1; ; ;1; 
3;9053;Mrs. Locke;2;2;3;1;4;4;1;1; ;1; ; ;1; ; ; ; ; ;1; ; ;2; 
2;9054;Peter;2;1;4;4;4;4;2;1; ; ; ; ; ;1;1; ; ; ;1; ; ;1; 
1;9054;Peter;2;1;3;4;4;4;2;1; ; ; ; ;1; ;1; ; ; ;1; ; ;2;Coded him as high-status occupation as he seemed to be head of business/directly involved in corpo business affairs
3;9054;Peter;2;1;3;4;4;4;2;1; ;; ; ;1; ;1; ; ; ;1; ; ;2; 
3;9061;grace shaw;2;2;2;4;4;4;2; ;1; ; ; ; ; ; ;1; ; ;1;1; ;2; 
2;9061;Grace Shaw;2;2;2;4;4;4;2; ;1;1; ; ; ;1;1; ; ; ;1;1; ;3; 
1;9061;Grace Shaw;2;2;2;4;4;4;2; ;1; ; ; ; ; ; ;1; ; ;1;1; ;2; 
3;9062;⁠terry zane;2;1;2;4;4;4;2; ;1; ; ; ; ;1;1; ; ; ;;1; ;3; 
2;9062;Terry Zane;2;1;2;4;4;4;2; ;1; ; ; ; ;1;1; ; ; ; ;1; ;3; 
1;9062;Terry Zane;2;1;2;4;4;4;2; ;1; ; ; ; ;1;1; ; ; ;;1; ;3; 
1;9063;Colossus (Demonia King);2;1;0;4;0;0;2; ; ;1; ; ; ; ; ; ;1; ;;1; ;2; 
3;9063;⁠demonia king;2;1;0;4;0;0;2; ; ;1; ; ; ; ; ; ;1; ; ;1; ;2; 
2;9063;Demonia King Colossus;2;1;0;0;0;0;2; ; ;1; ; ; ; ; ; ;1; ;;1; ;1; 
3;9064;terminus;2;1;0;4;0;0;2; ; ;1; ; ; ; ; ; ;1; ; ;1; ;1; 
2;9064;Terminus;2;1;0;0;0;0;2; ;1;1; ; ; ; ; ; ;1; ;1;1; ;1; 
1;9064;Terminus;2;1;2;4;0;0;2; ; ;1; ; ; ; ; ; ;1; ;1;1; ;1; 
3;9065;gregor;2;1;0;4;0;0;2; ; ;1; ; ; ; ; ; ;1; ; ;1; ;1; 
2;9065;Gregor;2;1;0;0;0;0;2; ;1;1; ; ; ; ; ; ;1; ;1;1; ;1; 
1;9065;Gregor;2;1;0;0;0;0;2; ; ;1; ; ; ; ; ; ;1; ;1;1; ;1; 
1;9071;Clint's brother;1;1;2;0;2;0;2; ; ;1; ;1; ; ; ; ; ; ;1; ; ;2;Coded romantic as we know he tried to touch Joey's wife
2;9071;Clint's brother;1;1;2;2;1;2;2;1; ;1; ;1; ; ;1; ; ; ;1; ; ;3; 
3;9071;Clint's brother (Bill);1;1;2;2;3;2;2; ; ;1; ;1; ; ;1; ; ; ;1; ; ;2; 
1;9072;Clint;1;1;3;4;3;3;2; ; ;1; ;1; ; ; ; ; ; ;1; ; ;1;He's a sheriff and has nicer clothes than the rest
2;9072;Clint;1;1;2;3;2;3;2; ;1;1; ; ; ; ;1;1; ; ;1; ; ;1; 
3;9072;Clint;1;1;2;3;3;3;2; ; ;1; ; ; ; ;1;1; ; ;1; ; ;1; 
3;9073;Grim wolf;1;1;3;3;2;3;2; ; ;1; ; ; ; ;1; ; ; ;1; ; ;1; 
1;9073;Grim Wolf;1;1;3;4;3;3;2; ; ;1; ; ; ;1;1; ; ; ;1;1; ;1;"He seems leader of gang. We need to think if gang leaders are high or low status (technically precarious occupation; practically in leadership position). He says he has whisky and horses so let's just say he has some luxuries"
2;9073;Grim Wolf;1;1;4;3;2;3;2;1; ;1; ;1; ; ;1; ; ; ;1; ; ;1;Leader of the Lucky Wolves bandits
1;9074;Louis;1;1;2;4;4;4;2; ;1; ; ; ; ;1; ; ; ; ; ;1; ;1; 
2;9074;Louis;1;1;2;4;4;4;2; ;1;1; ; ; ; ;1; ; ; ;1;1; ;1; 
3;9074;Louis;1;1;2;4;4;4;2; ;1; ; ; ; ;1;1; ; ; ;1; ; ;1; 
3;9081;Jasper;2;1;2;4;4;4;2;1;1;1; ; ; ; ;1; ; ; ;1;1; ;2; 
2;9081;Jasper Hulst;2;1;2;4;4;4;2;1;1; ; ; ; ;1;1; ; ; ;1;1; ;1; 
1;9081;Jasper Hulst;2;1;2;4;4;4;2; ;1;1; ; ; ; ;1; ; ; ;1;1; ;1; 
2;9082;Kane's ex;2;2;2;3;2;3;2;1; ;1; ;1; ; ; ;1; ; ;1; ; ;1; 
3;9082;Kane's ex;2;2;2;2;3;3;2;1; ;1; ;1; ; ; ; ; ; ;1; ; ;1; 
1;9082;Kane's ex-girlfriend;2;2;2;0;2;3;2;1; ;1; ;1; ; ; ; ; ; ;1; ; ;3;...wtf was her job?
1;9091;Troy;2;1;2;4;4;4;2;1; ; ; ;1; ; ; ; ; ; ;1; ; ;1; 
2;9091;Troy;2;1;2;4;4;4;2;1;1; ; ;1; ; ; ; ; ; ;1;1; ;1; 
3;9091;Troy;2;1;2;4;4;4;2;1; ; ; ;1; ; ; ; ; ; ;1; ; ;1; 
2;9092;Stacy;2;2;2;0;4;1;1;1;1; ; ;1; ; ;1; ; ; ;1;1; ;3; 
1;9092;Stacy;2;2;2;1;4;3;1;1;1; ; ;1; ; ; ; ; ; ;1;1; ;2; 
3;9092;Stacy;2;2;2;1;4;4;1;1;1; ; ;1; ; ;1; ; ; ;1;1; ;2; 
2;9093;Ben;2;1;1;1;4;4;1; ;1; ; ; ;1; ; ; ; ; ;1; ; ;2; 
1;9093;Ben;2;1;1;1;4;1;2; ; ;1; ; ;1; ; ; ; ; ;1; ; ;2; 
3;9093;Ben;2;1;1;1;4;4;1; ; ;1; ; ;1; ; ; ; ; ;1; ; ;2; 
2;9101;Gavin;1;1;2;2;2;2;2;1;1;1; ; ; ; ;1;1; ; ;1; ; ;3; 
1;9101;Gavin;1;1;2;0;2;0;2; ;1;1; ; ;1; ; ; ; ; ;1; ; ;3; 
3;9101;Gavin;1;1;2;3;2;3;2; ;1;1; ; ;1; ; ;1; ; ;1; ; ;1; 
2;9102;Lucas;1;1;2;2;2;3;1; ; ;1; ; ; ; ;1;1; ; ;1; ; ;1; 
1;9102;Lucas;1;1;2;0;4;0;2; ; ;1; ; ; ; ; ;1; ; ;1; ; ;1;I barely have any clue why this guy was beefing. Also he offered Isabelle a lot of money but his occupation was not specified this is why I coded like this. Idek at this point
3;9102;Lucas;1;1;2;3;2;0;2;1; ;1; ;1; ; ; ;1; ; ;1; ; ;1; 
1;9103;Sophia;1;2;2;0;4;4;1;1; ;1; ;1; ; ; ; ; ; ;1; ; ;2;She was part of a rich ass family but did nothing
3;9103;Sophia;1;2;2;1;4;2;1;1; ;1; ;1; ; ; ; ; ; ;1; ; ;2; 
2;9103;Sophia Costa;1;2;2;0;4;2;1;1; ;1; ;1; ; ;1; ; ; ;1; ; ;1; 
1;9111;Do Hyeon;3;1;2;4;4;4;2;1; ;1; ;1; ; ; ; ; ; ;1; ; ;1; 
3;9111;Ha do Hyeon;3;1;2;4;4;4;2;1; ; ; ;1; ; ; ; ; ; ;1; ; ;1; 
2;9111;Ha Do-Hyeon;3;1;2;4;4;4;2;1; ; ; ;1; ; ; ; ; ; ;1; ; ;1; 
2;9112;Ha Ji An;3;2;2;0;4;4;1;1; ; ; ;1; ; ; ; ; ; ;1; ; ;3; 
3;9112;Ha Ji An;3;2;2;1;4;3;1;1; ; ; ;1; ; ; ; ; ; ;1; ; ;2; 
1;9112;Ji An;3;2;2;0;4;4;1;1; ;1; ;1; ; ; ; ; ; ;1; ; ;2; 
